Campaign,Scenario #,Battle Name,Date,Location,Countries,Scenario File,Current Description (smScenDesc)
The Great Patriotic War Russia Campaign (1942-1945),0,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!",,,Germany vs Romania,ruscam00.xml,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!"
The Great Patriotic War Russia Campaign (1942-1945),1,Now is the time to crush the Italians.,,,Italy,ruscam01.xml,Now is the time to crush the Italians.
The Great Patriotic War Russia Campaign (1942-1945),2,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,,,Hungary,ruscam02.xml,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.
The Great Patriotic War Russia Campaign (1942-1945),3,Operation Star,,"We have swung you around to the north now, a little more now and we liberate Izium, we must drive on, drive the point of the sword through and gut the Fascist beast.",Fascist forces,ruscam03.xml,"Operation Star

We have swung you around to the north now, a little more now and we liberate Izium, we must drive on, drive the point of the sword through and gut the Fascist beast."
The Great Patriotic War Russia Campaign (1942-1945),4,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",,,,ruscam04.xml,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!"
The Great Patriotic War Russia Campaign (1942-1945),5,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west.",,,Germany,ruscam05.xml,"Here is our counter stroke to the German operations aimed at Kursk, it is to break through at Karachev and destroy this fortified salient around Orel. Beware the Fortresses at both Orel and Bryansk are fortified with heavy artillery, invest these fortresses and we shall move west."
The Great Patriotic War Russia Campaign (1942-1945),6,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog.",,,Germany,ruscam06.xml,"On 17 October Konev attacked out of his bridgehead at Kremenchug and swung to the south toward the iron ore center at Krivoi Rog and the main rail line into the Dnepr bend from the west. This threat forced the Germans to give up Dnepropetrovsk, but the First Panzer Army was able to hold in front of Krivoi Rog."
The Great Patriotic War Russia Campaign (1942-1945),7,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology.",,,Germany,ruscam07.xml,"Kiev has languished for too long under Nazi rule, they impatiently await your liberation. Nobody has said this will be easy, undoubtably the Germans will throw much strength into the defence of the city in their ""fortress"" ideology."
The Great Patriotic War Russia Campaign (1942-1945),8,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers.",,,,ruscam08.xml,"Taking Zhitomir will cut communications between Army Groups North and South, the 25th Panzer Division under General Jauer is counter-attacking here reinforced by Fallschirmjagers."
The Great Patriotic War Russia Campaign (1942-1945),9,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi.",,,Romania,ruscam09.xml,"Comrade General, STAVKA feels that the whole Romanian army here can be brought down with a few hard blows, your mission is to apply those blows here at Iasi."
The Great Patriotic War Russia Campaign (1942-1945),10,"Three years ago, the fascists invaded Mother Russia causing untold suffering to the Russian people. Today on the 3rd anniversary of that hateful day, we begin the final Operation to drive them from our soil, Operation Bagration shall be their creshendo of doom.",,"We shall show the Germans the error of their Festung strategy, they have built a hedgehog on the road before us, destroy it and link up at Bobruisk with the 3rd and 48th Armies. This will split their front, encircling the German 4th and 9th Armies.",Germany,ruscam10.xml,"Three years ago, the fascists invaded Mother Russia causing untold suffering to the Russian people. Today on the 3rd anniversary of that hateful day, we begin the final Operation to drive them from our soil, Operation Bagration shall be their creshendo of doom.

We shall show the Germans the error of their Festung strategy, they have built a hedgehog on the road before us, destroy it and link up at Bobruisk with the 3rd and 48th Armies. This will split their front, encircling the German 4th and 9th Armies."
The Great Patriotic War Russia Campaign (1942-1945),11,Here at Minsk the Germans have little chance of reinforcement before you surround them and destroy their Festung. With this action we will completely encircle their 4th Army from the north.,,,Germany,ruscam11.xml,Here at Minsk the Germans have little chance of reinforcement before you surround them and destroy their Festung. With this action we will completely encircle their 4th Army from the north.
The Great Patriotic War Russia Campaign (1942-1945),12,"Chernyakhovsky ordered that his main mobile 'exploitation' forces, the 5th Guards Tank Army and 3rd Guards Cavalry Corps continue their advance from Minsk on July 5 in the direction of Vilnius, with the aim of reaching the city by the following day: they were to encircle Vilnius from the south and north respectively. The rifle divisions of 5th Army were ordered to follow and close up to them. To the south, the 39th Army was directed to move on Lida, while the 11th Guards Army would advance in the Front's center.",,,Cavalry,ruscam12.xml,"Chernyakhovsky ordered that his main mobile 'exploitation' forces, the 5th Guards Tank Army and 3rd Guards Cavalry Corps continue their advance from Minsk on July 5 in the direction of Vilnius, with the aim of reaching the city by the following day: they were to encircle Vilnius from the south and north respectively. The rifle divisions of 5th Army were ordered to follow and close up to them. To the south, the 39th Army was directed to move on Lida, while the 11th Guards Army would advance in the Front's center."
