Campaign,Scenario #,Battle,Outcome,Prestige Reward,Branches To,Next Scenario ID,Outcome Text
The Great Patriotic War Russia Campaign (1942-1945),0,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!",BRILIANT,900,Now is the time to crush the Italians.,1,"Very good General! STAVKA will be pleased at this news, the breakthrough here has trapped hundreds of thousands of fascist troops in Stalingrad.

The Third Romanian Army began to be routed by the end of 19 November. The Soviet 21st Army and 5th Tank Army were able to capture some 27,000 Romanian prisoners the bulk of three divisions and then continue their advance southwards. Soviet cavalry was used to exploit the breakthrough, sever communications between the Romanians and the Italian 8th Army, and to block any possible counterattack against the Soviet flank."
The Great Patriotic War Russia Campaign (1942-1945),0,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!",LOSE,0,CAMPAIGN END / DEFEAT,255,"Comrade General, STAVKA has sent these NKVD troops for you, I'm afraid you have been relieved of command..."
The Great Patriotic War Russia Campaign (1942-1945),0,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!",TACTICAL,1000,Now is the time to crush the Italians.,1,"Comrade, while this can be called a victory, it has failed to impress STAVKA and many more victories such as this will mean we will not have an army to fight with. You must do better by our people and for the Motherland!

The Third Romanian Army began to be routed by the end of 19 November. The Soviet 21st Army and 5th Tank Army were able to capture some 27,000 Romanian prisoners the bulk of three divisions and then continue their advance southwards. Soviet cavalry was used to exploit the breakthrough, sever communications between the Romanians and the Italian 8th Army, and to block any possible counterattack against the Soviet flank."
The Great Patriotic War Russia Campaign (1942-1945),0,"The time for retreating is over, now we must drive the fascist beasts from the soil of the Motherland! Now we began with Operation Uranus here on the Chir. With the fascist armies trapped at Stalingrad, it is important to keep the pressure on to prevent the fascists from mounting strong counter-attacks to relieve their trapped comrades. Here we attack the remnants of the Romanians, though must move quickly to prevent the Germans from sending reinforcements to stabilize this sector.  Za Rodinu!",VICTORY,850,Now is the time to crush the Italians.,1,"Comrade General! Victory is sweet, no? However, if you had moved quicker it would have been more brilliant, but STAVKA approves. We have destroyed many fascist forces and trapped German troops in Stalingrad.

The Third Romanian Army began to be routed by the end of 19 November. The Soviet 21st Army and 5th Tank Army were able to capture some 27,000 Romanian prisoners the bulk of three divisions and then continue their advance southwards. Soviet cavalry was used to exploit the breakthrough, sever communications between the Romanians and the Italian 8th Army, and to block any possible counterattack against the Soviet flank."
The Great Patriotic War Russia Campaign (1942-1945),1,Now is the time to crush the Italians.,BRILIANT,900,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,2,"General Fyodor Isidorovich Kuznetsov's 1st Guards Army and General Dmitri Danilovich Lelyushenko's 3rd Guards Army attacked from the north, encircling 130,000 soldiers of the Italian 8th Army on the Don and advancing to Millerovo. (Manstein sent the 6th Panzer Division to the Italians' aid of the 130,000 encircled troops, 45,000 survived to join the Panzers at Chertkovo on 17 January)."
The Great Patriotic War Russia Campaign (1942-1945),1,Now is the time to crush the Italians.,LOSE,0,CAMPAIGN END / DEFEAT,255,You are relieved of command!
The Great Patriotic War Russia Campaign (1942-1945),1,Now is the time to crush the Italians.,TACTICAL,1000,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,2,"General Fyodor Isidorovich Kuznetsov's 1st Guards Army and General Dmitri Danilovich Lelyushenko's 3rd Guards Army attacked from the north, encircling 130,000 soldiers of the Italian 8th Army on the Don and advancing to Millerovo. (Manstein sent the 6th Panzer Division to the Italians' aid of the 130,000 encircled troops, 45,000 survived to join the Panzers at Chertkovo on 17 January)."
The Great Patriotic War Russia Campaign (1942-1945),1,Now is the time to crush the Italians.,VICTORY,950,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,2,"General Fyodor Isidorovich Kuznetsov's 1st Guards Army and General Dmitri Danilovich Lelyushenko's 3rd Guards Army attacked from the north, encircling 130,000 soldiers of the Italian 8th Army on the Don and advancing to Millerovo. (Manstein sent the 6th Panzer Division to the Italians' aid of the 130,000 encircled troops, 45,000 survived to join the Panzers at Chertkovo on 17 January)."
The Great Patriotic War Russia Campaign (1942-1945),2,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,BRILIANT,800,Operation Star,3,"On January 13, 1943, Russian forces, overwhelming in numbers and equipment, began the Voronezh-Kharkov Strategic Offensive Operation on the Bryansk, Voronezh, and Southwestern Fronts simultaneously . The Russians rapidly destroyed the Hungarian Second Army near Svoboda on the Don River."
The Great Patriotic War Russia Campaign (1942-1945),2,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,LOSE,0,CAMPAIGN END / DEFEAT,255,Defeat!
The Great Patriotic War Russia Campaign (1942-1945),2,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,TACTICAL,1000,Operation Star,3,"On January 13, 1943, Russian forces, overwhelming in numbers and equipment, began the Voronezh-Kharkov Strategic Offensive Operation on the Bryansk, Voronezh, and Southwestern Fronts simultaneously . The Russians rapidly destroyed the Hungarian Second Army near Svoboda on the Don River."
The Great Patriotic War Russia Campaign (1942-1945),2,Clear the Highway of Hungarians and break their line of communications and reinforcement in support of our attack in the south on Rostov and Kharkov.,VICTORY,950,Operation Star,3,"On January 13, 1943, Russian forces, overwhelming in numbers and equipment, began the Voronezh-Kharkov Strategic Offensive Operation on the Bryansk, Voronezh, and Southwestern Fronts simultaneously . The Russians rapidly destroyed the Hungarian Second Army near Svoboda on the Don River."
The Great Patriotic War Russia Campaign (1942-1945),3,Operation Star,BRILIANT,1700,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",4,"As the German Sixth Army was encircled in Stalingrad, the Red Army undertook a series of wider offensives against the rest of Army Group South. These culminated on 2 January 1943, when the Soviets launched Operation Star, which between January and early February broke German defenses and led to the Soviet recapture of Kharkov, Belgorod and Kursk. The Soviet offensive was successful, but caused participating Soviet units to over-extend themselves."
The Great Patriotic War Russia Campaign (1942-1945),3,Operation Star,LOSE,2300,"Here at Prokhorovka you have been attached to the 5th Guards Tank Army, this will not be easy Comrade General. Directly facing you is the elite of the SS: Adolf Hitler's named Liebstandarte Division and Das Reich in the south.  You must be very careful here not to let your army be destroyed in senseless attacks but to let them attack first, yet hold Prokhorovka, then once their assault burns itself out, counterattack, drive them back and take Ivanovski. This will be the swansong of the panzerkorps, you shall be the conductor of this orchestra of destruction and they will see their last Blitzkrieg lay broken and dying at your feet!",4,"As the German Sixth Army was encircled in Stalingrad, the Red Army undertook a series of wider offensives against the rest of Army Group South. These culminated on 2 January 1943, when the Soviets launched Operation Star, which between January and early February broke German defenses and led to the Soviet recapture of Kharkov, Belgorod and Kursk. The Soviet offensive was successful, but caused participating Soviet units to over-extend themselves."
